,LEMMA,HEAD,HEAD POS,HEAD GEN,LEMMA GEN,SYSTEM_SUFFIX,HEAD_SUFFIX
0,αιγικορευς,κουρευς,Noun,εως,εως,"('ευς', 'εως')","('ευς', 'εως')"
1,αιγυπτογενης,γιγνομαι,Verb,V,ες,"('ης', 'ες')",V
2,αιγικορος,κουρος,Noun,ου,ου,"('ρος', 'ου')","('ρος', 'ου')"
4,αιθιοψ,οψε,Verb,V,οπος,,V
5,αινεσιδημος,δημος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
6,αινησιδημος,δημος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
7,αινοπαρις,παρις,Noun,ιδος,ιδος,"('ις', 'ιδος')","('ις', 'ιδος')"
8,αιολοκενταυρος,κενταυριον,Noun,ου,ου,"('ρος', 'ου')","('ιον', 'ου')"
9,αιπιορητος,οραω,Verb,V,ου,"('τος', 'ου')",V
10,αισωποποιητος,ποιητος,Adjective,ον,ον,"('τος', 'ον')","('τος', 'ον')"
11,αιτωλαρχης,αρχω,Verb,V,ου,"('ης', 'ου')",V
12,αιθοψ,οψε,Verb,V,οπος,,V
15,αυτοκρατης,κριτης,Noun,ου,ες,"('της', 'ες')","('της', 'ου')"
19,αυτονοη,de αυτονοος,Verb,V,ης,"('η', 'ης')",V
20,αυτοφονος,φονος,Noun,ου,ον,"('νος', 'ον')","('νος', 'ου')"
22,αυτοδικος,δισκος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
23,αυτολυκος,λυκος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
24,αυτονομος,νομος,Noun,ου,ον,"('μος', 'ον')","('μος', 'ου')"
32,βατραχομυομαχια,μυς,Noun,μυος,ας,"('ια', 'ας')",
33,βδελυκλεων,κλεων,Noun,ωνος,ωνος,"('εων', 'ωνος')","('εων', 'ωνος')"
34,βελλεροφοντης,φονευτης,Noun,ου,ου,"('της', 'ου')","('της', 'ου')"
36,βελονοπωλης,πωλεω,Verb,V,ου,"('ης', 'ου')",V
37,βερενικη,φερενικη,Noun,ης,ης,"('η', 'ης')","('η', 'ης')"
39,βλεψιδημος,δημος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
40,βορειγονοι,γιγνομαι,Verb,V,ων,"('οι', 'ων')",V
42,βουζυγης,ζευγνυμι,Verb,V,ου,"('ης', 'ου')",V
43,βουκεφαλας,βουκεφαλος,Adjective,ον,α,"('ας', 'α')","('λος', 'ον')"
45,βουκεφαλος,κεφαλος,Noun,ου,ον,"('λος', 'ον')","('λος', 'ου')"
46,βουκολος,κολος,Adjective,ον,ου,"('λος', 'ου')","('λος', 'ον')"
49,βοαγριος,αγριος,Adjective,ον,ου,"('ιος', 'ου')","('ιος', 'ον')"
51,βουδορον,δορπον,Noun,ου,ου,"('ον', 'ου')","('ον', 'ου')"
53,βρυσωνοθρασυμαχειοληψικερματοι,θρασυμαχος,Adjective,ον,ων,"('οι', 'ων')","('ος', 'ον')"
54,βαθιππος,ιππος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
55,βοσπορος,πορος,Noun,ου,ου,"('ρος', 'ου')","('ρος', 'ου')"
56,γαλαξαυρη,αυρα,Noun,ας,ης,"('η', 'ης')","('ρα', 'ας')"
57,γαλαξιδωρος,δωρον,Noun,ου,ου,"('ρος', 'ου')","('ον', 'ου')"
60,γαστροδωρη,δωρον,Noun,ου,ης,"('η', 'ης')","('ον', 'ου')"
61,γερητοθεοδωροι,θεοδωρος,Noun,ου,ων,"('οι', 'ων')","('ρος', 'ου')"
62,γερμανολετις,ολε-,Verb,V,ιδος,"('τις', 'ιδος')",V
63,γευσιστρατη,στρατος,Noun,ου,ης,"('η', 'ης')","('τος', 'ου')"
64,γλαυκοθεα,θεα,Adjective,ας,ας,"('α', 'ας')","('α', 'ας')"
65,γλαυκονομη,νεμω,Verb,V,ης,"('η', 'ης')",V
66,γλαυκιππος,*ιππος p,Verb,V,ου,"('ος', 'ου')",V
67,γλωσσοτραπεζος,τραπεζα,Noun,ης,ου,"('ος', 'ου')","('α', 'ης')"
68,γνωσιδημος,δημος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
69,γνωσιδικος,δικη,Noun,ης,ου,"('ος', 'ου')","('η', 'ης')"
71,γοργολοφα,λοφια,Noun,ας,ης,"('α', 'ης')","('ια', 'ας')"
73,γοργοφονος,φονος,Noun,ου,ον,"('νος', 'ον')","('νος', 'ου')"
76,γοργωπας,ωπας,Verb,V,α,"('ας', 'α')",V
77,γυμνοσοφισται,σοφιστης,Noun,ου,ων,,"('της', 'ου')"
78,γοργιππος,ιππος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
81,δαμασικονδυλος,κ,Verb,V,ου,"('λος', 'ου')",V
95,δαμασιππος,ιππος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
102,δαρειογενης,γεν- de γιγνομαι,Verb,V,ες,"('ης', 'ες')",V
105,δαιλοχος,λοχος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
106,δαιμαχος,μαχη,Noun,ης,ου,"('ος', 'ου')","('η', 'ης')"
108,δεινοκρατης,κρατος,Noun,e,ους,"('της', 'ους')",
109,δεινομαχη,de δεινομαχος,Verb,V,ης,"('η', 'ης')",V
111,δεινολοχος,λοχος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
112,δεινομαχος,μαχομαι,Verb,V,ου,"('ος', 'ου')",V
113,δεισηνωρ,ηνωρ,Verb,V,ορος,"('ωρ', 'ορος')",V
114,δεκαπολις,πολις,Noun,εως,εως,"('ις', 'εως')","('ις', 'εως')"
115,δεξιθεα,de δεξιθεος,Verb,V,ας,"('α', 'ας')",V
116,δεξικρατης,κρατος,Noun,e,ους,"('της', 'ους')",
119,δεξιθεος,θεος,Noun,ου,ου,"('εος', 'ου')","('εος', 'ου')"
121,δεξιοχος,εχω,Verb,V,ου,"('ος', 'ου')",V
122,δεσποσιοναυται,ναυτης,Noun,ου,ων,,"('της', 'ου')"
123,δευτερονομιον,νομος,Noun,ου,ου,"('ιον', 'ου')","('μος', 'ου')"
124,δειναρχος,αρχω,Verb,V,ου,"('ος', 'ου')",V
127,δημαινετη,de δημαινετος,Verb,V,ης,"('η', 'ης')",V
128,δημαριστη,αριστος,Adjective,ον,ης,"('στη', 'ης')","('στος', 'ον')"
129,δημαινετος,αινεω,Verb,V,ου,"('ετος', 'ου')",V
131,δημοδικη,de δημοδικος,Verb,V,ης,"('η', 'ης')",V
132,δημοδοκη,de δημοδοκος,Verb,V,ης,"('η', 'ης')",V
134,δημοκρατης,κρατος,Noun,e,ους,"('της', 'ους')",
141,δημοπτολεμος,πτολεμος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
143,δημοσατυροι,σατυροι,Verb,V,ων,"('οι', 'ων')",V
144,δημοτελης,τεληεις,Adjective,ηεν,ες,"('ης', 'ες')","('εις', 'ηεν')"
145,δημοφανης,φανοτης,Noun,ητος,ες,"('ης', 'ες')","('της', 'ητος')"
146,δημοφιλη,de δημοφιλος,Verb,V,ης,"('η', 'ης')",V
148,δημοχαρης,χαρτης,Noun,ου,ες,"('ης', 'ες')","('της', 'ου')"
150,δημαρατος,αραομαι,Verb,V,ου,"('τος', 'ου')",V
151,δημαρετος,αρεσκω,Verb,V,ου,"('ετος', 'ου')",V
152,δημαρμενος,*αρω,Verb,V,ου,"('νος', 'ου')",V
153,δημητηρ,da-ma-te ; on pose δα,Verb,V,τρος,,V
155,δημοδικος,δικη,Noun,ης,ου,"('ος', 'ου')","('η', 'ης')"
156,δημοδοκος,δεκομαι,Verb,V,ου,"('ος', 'ου')",V
157,δημοκριτος,κρινω,Verb,V,ου,"('ιτος', 'ου')",V
158,δημονησος,νησος,Noun,ου,ου,"('ος', 'ου')","('ος', 'ου')"
163,δημοστρατος,στρατος,Noun,ου,ου,"('τος', 'ου')","('τος', 'ου')"
164,δημοτιμος,τιμη,Noun,ης,ου,"('μος', 'ου')","('η', 'ης')"
166,δημοφιλος,φιλος,Adjective,ον,ου,"('λος', 'ου')","('λος', 'ον')"
167,δημοχαρις,χαρις,Noun,ιτος,ιδος,"('ις', 'ιδος')",
168,δηριμαχεια,μαχομαι,Verb,V,ας,"('εια', 'ας')",V
170,δηιδαμεια,δαμνημι,Verb,V,ας,"('εια', 'ας')",V
176,δηιμαχος,μαχη,Noun,ης,ου,"('ος', 'ου')","('η', 'ης')"
177,δηιπυλος,πυλη,Noun,ης,ου,"('λος', 'ου')","('η', 'ης')"
179,δηιφονος,φεν- de πεφνειν,Verb,V,ου,"('νος', 'ου')",V
181,διαγορας,αγορευω,Verb,V,ου,"('ας', 'ου')",V
183,διαπρεπης,πρεπτος,Adjective,ον,ες,"('ης', 'ες')","('τος', 'ον')"
184,δικαιογενης,γιγνομαι,Verb,V,ους,"('ης', 'ους')",V
185,δικαιοτελης,τελος,Verb,V,ους,"('ης', 'ους')",V
186,δικαιοπολις,πολις,Noun,εως,εως,"('ις', 'εως')","('ις', 'εως')"
187,δικαιαρχος,αρχω,Verb,V,ου,"('ος', 'ου')",V
188,διογενετωρ,γενετωρ,Noun,ορος,ορος,"('τωρ', 'ορος')","('τωρ', 'ορος')"
