,LEMMA,FIRST,SECOND,SUFFIX,SIMPLE,POS,HEAD,POS_HEAD,HEAD_NORMALIZED,HEAD_SUFFIX,SYSTEM_SUFFIX
0,εὔθυμος,noun root θυμ   θυμός   soul  spirit ,,"adj. suf. -ος, -ον",ος,A,θυμός,N,θυμός,μος,μος
1,ἀρηΐθοος,verbal root ἀγ   ἄγνυμι   break ,θοός     ή     όν    quick  nimble ,,,,θοός,N,θοός,ος,ος
2,Ὑπερίων,verbal root ἀπτ   ἅπτω ἅπτομαι   fasten  bind to  touch ,ἰών  part  of εἶμι     come or go  ,,,,εἶμι,N,εἶμι,,ιων
3,ἀστεροπή,verb noun root ὄπ   ὄψομαι  see   ὄψις  aspect  ,,f. noun suf. -η,η,A,ὄψομαι,V,ὄψομαι,V,η
4,λεχεποίης,noun stem λεχε   λέχος   bed ,noun stem ποι   ποί η  ion  form of πόα    grass ,noun suf. - ης,ης,A,ποι,N,ὅποι,οι,ης
5,φυγοπτόλεμος,verbal root φυγ   φεύγω   flee ,noun root πτόλεμ   πτόλεμος   war ,"adj. suf. -ος, -ον",ος,A,πτόλεμος,N,πτόλεμος,μος,μος
6,πολύμυθος,noun root μῦθ   μῦθος   word ,,adj. suf. -ος -ον,ος,A,μῦθος,N,μῦθος,ος,ος
7,Προθόων,verbal root θέ   θέω   run ,,noun suf. -ων,ων,A,θέω,V,ὠθέω,V,ων
8,κερτόμιος,noun root κ ε ρ   κῆρ  perh  contr  from κέαρ   heart ,verbal root τομ   τέμνω   cut ,"adj. suf. -ιος, -ιον",ιος,A,τέμνω,V,τέμνω,V,ιος
9,εὐχροής,noun root χρο   χρόα   colour ,,"adj. suf. -ής, -ές",ης,A,χρόα,N,χρόα,α,ης
10,ἐυπλοκαμίς,noun stem πλοκαμι   πλοκαμίς   tress ,verbal root μέδ  μέδομαι   to be minded  orμέν   μένω   stand fast ,"adj. suf. -ις, -ιδος",ις,A,μέδομαι,V,μέδομαι,V,ις
11,ἐπήβολος,verbal root βολ   βάλλω   throw ,,"adj. suf. -ος, -ον",ος,A,βάλλω,V,βάλλω,V,λος
12,ἄνοσος,noun root νοσ   νόσος   sickness ,,"adj. suf. -ος, -ον",ος,A,νόσος,N,νόσος,ος,ος
13,πολύμηλος,noun root μῆλ   μῆλον   sheep ,,adj. suf. -ος -ον,ος,A,μῆλον,N,μῆλον¹,ον,ηλος
14,πρόκροσσοι,noun root κροσσ   κροσσός   row ,,"pl. adj. suf. -οι, -A, -A",οι,A,κροσσός,N,κροσσός,ος,οι
15,ἑξήκοντα,num  root κοντα  &lt  *dkomt  cfr  δέκα   ten  a ten ,,,,,κοντα,N,κονία,τα,τα
16,ἀπότροπος,verbal root τροπ   τρέπω   turn ,noun root  φρο   φρήν φρενός   midriff heart mind ,"adj. suf. -ος, -ον",ος,A,φρενός,N,φρενόω,νος,ος
