,LEMMA,HEAD,HEAD POS,HEAD GEN,LEMMA GEN,SYSTEM_SUFFIX,HEAD_SUFFIX
1,αρηιθοος,θοος,Adjective,ον,ον,"('ος', 'ον')","('ος', 'ον')"
2,υπεριων,ειμι,Verb,V,ονος,"('ιων', 'ονος')",V
3,αστεροπη,οψομαι,Verb,V,ης,"('η', 'ης')",V
4,λεχεποιης,οποι,Verb,V,ου,"('ης', 'ου')",V
5,φυγοπτολεμος,πτολεμος,Noun,ου,ον,"('μος', 'ον')","('μος', 'ου')"
6,πολυμυθος,μυθος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
7,προθοων,ωθεω,Verb,V,ωνος,"('ων', 'ωνος')",V
8,κερτομιος,τεμνω,Verb,V,ον,"('ιος', 'ον')",V
9,ευχροης,χροα,Noun,ας,ες,"('ης', 'ες')","('α', 'ας')"
12,ανοσος,νοσος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
13,πολυμηλος,μηλον,Noun,ου,ον,"('ηλος', 'ον')","('ον', 'ου')"
16,αποτροπος,φρενοω,Verb,V,ον,"('ος', 'ον')",V
17,ιθαγενης,ανδρος,Noun,ου,ους,"('ης', 'ους')","('ρος', 'ου')"
19,ανδραγρια,αγρα,Noun,ας,ων,"('ια', 'ων')","('ρα', 'ας')"
20,εναλιγκιος,στρεφω,Verb,V,ον,"('ιος', 'ον')",V
21,πολυανθης,ανθος,Noun,ου,ες,"('ης', 'ες')","('ος', 'ου')"
22,αλληλων,λεια,Noun,ας,e,,"('εια', 'ας')"
24,αγερωχος,οχη,Noun,ης,ον,"('ος', 'ον')","('η', 'ης')"
25,αγηνορια,nan,Verb,V,ης,"('ια', 'ης')",V
26,αγηνωρ,ανδρος,Noun,ου,ορος,"('ωρ', 'ορος')","('ρος', 'ου')"
27,αγηνωρ,ανδρος,Noun,ου,ορος,"('ωρ', 'ορος')","('ρος', 'ου')"
30,αγκυλοτοξος,τοξον,Noun,ου,ον,"('ος', 'ον')","('ον', 'ου')"
32,αγλαοκαρπος,καρπος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
34,αγνωστος,γνωστος,Adjective,ον,ον,"('στος', 'ον')","('στος', 'ον')"
35,αγραυλος,nan,Verb,V,ον,"('λος', 'ον')",V
36,αγριοφωνος,φωνη,Noun,ης,ον,"('νος', 'ον')","('η', 'ης')"
37,αγχεμαχος,μαχομαι,Verb,V,ον,"('ος', 'ον')",V
38,αγχιαλος,αλος,Adjective,ου,ον,"('λος', 'ον')","('λος', 'ου')"
40,αγχιθεος,θε,Verb,V,ον,"('εος', 'ον')",V
41,αγχιμαχητης,μαχομαι,Verb,V,ου,"('ητης', 'ου')",V
44,αγχιστινος,στη,Verb,V,ον,"('νος', 'ον')",V
45,αδακρυτος,αδακρυς,Noun,υ,ον,"('τος', 'ον')","('υς', 'υ')"
47,αδαμαστος,δαμαζω,Verb,V,ον,"('στος', 'ον')",V
48,αδαημων,δαημων,Adjective,ον,ον,"('μων', 'ον')","('μων', 'ον')"
49,αδεης,δεος,Noun,e,ες,"('ης', 'ες')",
52,αδηριτος,δηρις,Noun,ιος,ον,"('ιτος', 'ον')","('ις', 'ιος')"
53,αδμητος,nan,Verb,V,ου,"('τος', 'ου')",V
54,αδμητος,δαμνημι,Verb,V,ου,"('τος', 'ου')",V
58,αεκων,κρουσμα,Noun,ατος,ον,"('ων', 'ον')","('α', 'ατος')"
60,αελπης,εσπομαι,Verb,V,ες,"('ης', 'ες')",V
61,αεναων,ναω,Verb,V,ον,"('ων', 'ον')",V
63,αερσιπους,σποδος,Noun,ου,ουν,"('υς', 'ουν')","('ος', 'ου')"
64,αεσιφροσυνη,nan,Verb,V,ης,"('συνη', 'ης')",V
