,LEMMA,COMPOUND,CATEGORIZATION,MEANING,ETYMOLOGY,OCCURRENCE,CASE/GENDER/NUMBER,HEADEDNESS,CLASSIFICATION,NOTES,Unnamed: 10,Unnamed: 11,Unnamed: 12,HEADEDNESS COMMENTS,SKR CLASSIFICATION,SKR MAIN CLASSIFICATION,MAIN CLASSIFICATION,POS,STRUCTURE,Prefix,First Element,Linking Vowel,Second Element,Suffix
0,ἀάατος,"ἀάατος, -ον",A [A+V+Suf],"‘not to be injured, inviolable’",,"Il. XIV, 271; Od. XXI, 91; XXII, 5","nom. m. sg., acc. m. sg., acc. n. sg.",exocentric,determinative,ἀ- privativum is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+V+Suf],,,,,
1,ἀαγής,"ἀαγής, -ές",A [ἀ+V+Suf],"‘unbroken, hard’","ἀ- privativum + verbal root ἀγ- (ἄγνυμι) ‘break’ + adj. suf. -ής, -ές","Od. XI, 575",acc. n. sg.,exocentric,determinative,ἀ- privativum is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,A,[ἀ+V+Suf],ἀ- privativum,verbal root ἀγ- (ἄγνυμι) ‘break’ ,,,"adj. suf. -ής, -ές"
2,ἄαπτος,"ἄαπτος, -ον",A [A+V+Suf],"‘not to be touched, resistless, invincible’","ἀ- privativum + verbal root ἀπτ- (ἅπτω/ἅπτομαι) ‘fasten, bind to, touch‘ + adj. suf. –ος, -ον","Il. I, 567; VII, 309; VIII, 450; XI, 169; XII, 166; XIII, 49, 77, 318; XVI, 244; XVII, 638; XX, 503; Od. XI, 502; XXII, 70, 248","nom. f. (target gender) pl., acc. f. (target gender) pl.",exocentric,determinative,ἀ- privativum is not a free word in Greek. Epith. of hands,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+V+Suf],ἀ- privativum,"verbal root ἀπτ- (ἅπτω/ἅπτομαι) ‘fasten, bind to, touch‘ ",,,"adj. suf. –ος, -ον"
3,ἄβρομος,"ἄβρομος, -ον",A [A+V+Suf],‘joining in a shout’,"ἀ- copulativum + verbal root βρομ- (βρέμω, βρόμος) ‘roar’ + adj. suf. –ος, -ον","Il. XIII, 41",nom. m. pl.,exocentric,determinative,ἀ- copulativum is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+V+Suf],ἀ- copulativum,"verbal root βρομ- (βρέμω, βρόμος) ‘roar’ ",,,"adj. suf. –ος, -ον"
4,ἀγαθός,"ἀγαθός, -ή, -όν",A [A+V+Suf],"‘good, who makes great actions’","adj. root ἀγα- (&lt; μγα, μέγας, μεγάλη, μέγα) ‘great’ + verbal root θ- (&lt;*dhē, τίθημι, lat. fac-io) ‘make; put’ + adj. suf. -ός, -ή,-όν","Il. I, 131, 275; II, 204, 273, 408, 563, 567, 586, 732; V, 114, 320, 347, 432, 596, 855; IX, 31, 341, 696; XIII, 123, 238, 284, 314, 581, 593, 664, 666; XIV, 109, 113; XV, 185, 249, 404, 568, 671; XXI, 109, 280 (bis); XXIII, 305, 608, 770, 810; XXIV, 53, 130, 250, 425, 632; Od. I, 43; II, 34; XIII, 246; XIV, 421, 441; XV, 14, 57, 67, 92, 97, 324, 405, 491, 507; XVIII, 276, 383; XXII, 209; XXIV, 194, 249, 286","nom. m. sg., nom. f. sg., nom. n. sg, gen. m. sg., dat. m. sg., dat. f. sg., acc. m. sg., acc. f. sg., acc. n. sg., nom. m. du., nom. f. pl., dat. m. pl, dat. f. pl, dat. n. pl., acc. f. pl., acc. n. pl.",exocentric,subordinate (argument-V),,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[A+V+Suf],,"adj. root ἀγα- (&lt; μγα, μέγας, μεγάλη, μέγα) ‘great’ ",,"verbal root θ- (&lt;*dhē, τίθημι, lat. fac-io) ‘make; put’ ","adj. suf. -ός, -ή,-όν"
5,ἀγακλεής,"ἀγακλεής, -ές",A [Adv+N+Suf],"‘very glorious’, ‘famous’","adv./adj. root ἀγα- (ἄγαν) ‘very much’ + noun stem κλε-ες (κλέος) ‘fame, glory’ + adj. suf. -ής, -ές","Il. XVI, 738; XVII, 716; XXI, 379; XXIII, 529","gen. m. sg., voc. m. sg., voc. n. sg.",exocentric,attributive,gen.ἀγακλῆος,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],,adv./adj. root ἀγα- (ἄγαν) ‘very much’ ,,"noun stem κλε-ες (κλέος) ‘fame, glory’ ","adj. suf. -ής, -ές"
6,ἀγακλειτός,"ἀγακλειτός, –ή, –όν",A [Adv+A],"‘very glorious, famous’","adv./adj. rootἀγα-(ἄγαν) ‘very much’+κλειτός, –ή, –όν(κλείω) ‘renowned, famous’","Il. II, 564; XII, 101; XVI, 463; XVIII, 45; XXI, 530; Od. III, 59; VII, 202; XVII, 370, 468; XXI, 275","nom. f. sg., gen. m. sg., gen. f. sg., acc. m. sg., gen. m. pl., acc. m. pl., acc. f. pl.",endocentric,determinative,s.ἀγακλυτός,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[Adv+A],,adv./adj. rootἀγα-(ἄγαν) ‘very much’ ,,,"κλειτός, –ή, –όν(κλείω) ‘renowned, famous’"
7,ἀγακλυτός,"ἀγακλυτός,-όν",A [Adv+A],"‘very glorious, famous’","adv./adj. root ἀγα-(ἄγαν) ‘very much’ +κλυτός, -ή,- όν‘renowned, glorious’","Il. VI, 436; Od. III, 388, 428; VII,3,46;VIII, 502; XIV, 237; XXI, 295; XXIV, 103","acc. m. sg., acc. m. pl., acc. n. pl.",endocentric,determinative,s. ἀγακλειτός,,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[Adv+A],,adv./adj. root ἀγα-(ἄγαν) ‘very much’ ,,,"κλυτός, -ή,- όν‘renowned, glorious’"
8,Ἀγαμεμνόνεος,"Ἀγαμεμνόνεος, -A, -ον",A derived from Ἀγαμέμνων,‘of Agamemnon’,,"Il. XXIII, 525",gen. f. sg.,,,s. Ἀγαμέμνων,,,,,,,,A,derived,,,,,
9,Ἀγαμεμνονίδης,"Ἀγαμεμνονίδης, -ου","N deriv. from Ἀγαμεμνων, -ονος",,,"Od. I, 30",nom. m. sg.,,,,,,,,,,,N,deriv.,,,,,
10,Ἀγαμέμνων,"Ἀγαμέμνων, –ονος",N [Adv+V+Suf],‘Agamemnon’,"adv./adj. root ἀγα- (ἄγαν)‘very’ + verbal root μέδ-(μέδομαι) ‘to be minded’ orμέν- (μένω) ‘stand fast’ + noun suf.-μων, -μονος","Il. I, 24, 90, 94, 102, 130, 172, 203. 285, 318, 335, 355, 378, 411, 442, 506; II, 6, 9, 18, 21, 100, 107, 185, 221, 224, 243, 254, 362, 369, 402, 411, 434, 441, 477, 576, 612, 772; III, 81, 118, 178, 193, 267, 455; V, 38, 537, 552; VI, 33; 53, 63, VII, 57, 107, 162, 176, 230, 312, 314, 322, 373, 383, 405, 470; VIII, 78, 218, 261, 278; IX, 13, 62, 96, 114, 163, 178, 226, 253, 260, 263, 269, 315, 331, 368, 386, 388, 439, 672, 677, 697; X, 3, 9, 42, 64, 86, 103, 119, 233; XI, 91, 99, 107, 126, 153, 158, 177, 187, 202, 216, 219, 231, 238, 246, 251, 254, 284, 661, 766; XIII, 112; XIV, 22, 29, 41, 64, 103, 134, 137, 380; XVI, 26, 58, 72; XVIII, 111, 257, 445; XIX, 146, 172, 184, 199, 241, 249; XXIII, 36, 38, 49, 155, 161, 296, 486, 887, 895; XXIV, 654; 687; Od. III, 143, 156, 164, 234, 248; IV, 584; VIII, 77; XI, 168, 387; 397; XIII, 383; XIV, 70, 117, 495; XXIV, 20, 102, 121, 186.","nom. m. sg., gen. sg., dat. sg., acc. sg., voc. sg.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[Adv+V+Suf],,adv./adj. root ἀγα- (ἄγαν)‘very’ ,,verbal root μέδ-(μέδομαι) ‘to be minded’ orμέν- (μένω) ‘stand fast’ ,"noun suf.-μων, -μονος"
11,Ἀγαμήδη,"Ἀγαμήδη, –ης",N [Adv+V+Suf],‘Agamedes’,,"Il. XI, 740",acc. f. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[Adv+V+Suf],,,,,
12,ἄγαμος,"ἄγαμος, -ον",A [A+N+Suf],"‘unmarried, single’","ἀ- privativum+ noun root γαμ- (γάμος, γαμέω) ‘wedding’ + adj. suf.-ος, –ον","Il. III, 40",nom. m. sg.,exocentric,attributive,ἀ- privativum is not a free word in Greek,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],ἀ- privativum,"noun root γαμ- (γάμος, γαμέω) ‘wedding’ ",,,"adj. suf.-ος, –ον"
13,ἀγάννιφος,"ἀγάννιφος, -ον",A [Adv+V+Suf],"‘much snowed on, snow-capt’","adv./adj. ἀγα- (ἄγαν) ‘much’ + verbal root -ννιφ- (&lt;*σνιφ-, νείφω) ‘snow’ + adj. suf. -ος, -ον","Il. I, 420; XVIII, 186",acc. m. sg.,exocentric,determinative,epith. of Olympus,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],adv./adj. ἀγα- (ἄγαν) ‘much’,"verbal root -ννιφ- (&lt;*σνιφ-, νείφω) ‘snow’ ",,,"adj. suf. -ος, -ον"
14,ἀγανός,"ἀγανός,-ή,-όν",A [A+N+Suf],"‘mild, gentle’","ἀ- copulative + noun root γαν- (γάνος, -ους) ‘brightness, gladness’ + adj. suf.-ός, -ή,-όν",,"nom. m.sg., dat. f. pl., dat. n. pl.",exocentric,determinative,uncertain etymology.ἀ- copulativum is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+N+Suf],ἀ- copulative,"noun root γαν- (γάνος, -ους) ‘brightness, gladness’ ",,,"adj. suf.-ός, -ή,-όν"
15,ἀγανοφροσύνη,"ἀγανοφροσύνη, -ης","Nderiv. fromἀγανόφρων, -ον",,,"Il. XXIV, 772; Od. XI, 203","nom. f. sg., dat. sg.",,,s.ἀγανοφροσύνη,,,,,,,,Nderiv.,"fromἀγανόφρων,",,,,,
16,ἀγανόφρων,"ἀγανόφρων, -ον",A [A+N+Suf],‘gentle of mood’,"adj. stemἀγανο- (ἀγανός, -ή, -όν) ‘mild, gentle’ +noun root -φρο- (φρήν,φρενός) ‘midriff,heart,mind’+ adj. suf. -ων","Il. XX, 467",nom. m. sg.,exocentric,attributive,s.ἀγανοφροσύνη,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. stemἀγανο- (ἀγανός, -ή, -όν) ‘mild, gentle’ ",,"noun root -φρο- (φρήν,φρενός) ‘midriff,heart,mind’ ",adj. suf. -ων
17,ἀγαπήνωρ,"ἀγαπήνωρ, –ορος",A [V+N+Suf],"‘loving manliness, manly’","verbal root/stem ἀγάπ(A)- (ἀγαπά(ζ)ω) ‘love, be fond of‘ +noun root*ήνορ- (ἀνήρ, ἀνδρός) ‘man’ + noun suf. –ωρ","Il. VIII, 114; XXIII, 113, 124; Od. VII, 170","nom. m. sg., gen. m. sg., acc. m. sg.",exocentric,subordinate (V-argument),the second member is not a free word in Greek,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[V+N+Suf],,"verbal root/stem ἀγάπ(A)- (ἀγαπά(ζ)ω) ‘love, be fond of‘ ",,"noun root*ήνορ- (ἀνήρ, ἀνδρός) ‘man’ ",noun suf. –ωρ
